matchday,date,date_display,time_et,day_of_week,month,date_sort,home_team,away_team,stadium,venue_type,game_label
1,13/03/2026 20:00,"March 13, 2026",8:00 PM,Friday,March,2026-03-13,Washington Spirit,Portland Thorns FC,Audi Field,home_venue,"March 13, 2026  8:00 PM  —  Washington Spirit vs Portland Thorns FC"
1,14/03/2026 12:30,"March 14, 2026",12:30 PM,Saturday,March,2026-03-14,Boston Legacy FC,NJ/NY Gotham FC,Gillette Stadium,home_venue,"March 14, 2026  12:30 PM  —  Boston Legacy FC vs NJ/NY Gotham FC"
1,14/03/2026 16:00,"March 14, 2026",4:00 PM,Saturday,March,2026-03-14,Kansas City Current,Utah Royals FC,CPKC Stadium,home_venue,"March 14, 2026  4:00 PM  —  Kansas City Current vs Utah Royals FC"
1,14/03/2026 18:30,"March 14, 2026",6:30 PM,Saturday,March,2026-03-14,Bay FC,Denver Summit FC,PayPal Park,home_venue,"March 14, 2026  6:30 PM  —  Bay FC vs Denver Summit FC"
1,14/03/2026 19:00,"March 14, 2026",7:00 PM,Saturday,March,2026-03-14,North Carolina Courage,Racing Louisville FC,First Horizon Stadium at WakeMed Soccer Park,home_venue,"March 14, 2026  7:00 PM  —  North Carolina Courage vs Racing Louisville FC"
1,14/03/2026 20:45,"March 14, 2026",8:45 PM,Saturday,March,2026-03-14,San Diego Wave FC,Houston Dash,Snapdragon Stadium,home_venue,"March 14, 2026  8:45 PM  —  San Diego Wave FC vs Houston Dash"
1,15/03/2026 16:00,"March 15, 2026",4:00 PM,Sunday,March,2026-03-15,Orlando Pride,Seattle Reign FC,INTER&Co Stadium,home_venue,"March 15, 2026  4:00 PM  —  Orlando Pride vs Seattle Reign FC"
1,15/03/2026 19:00,"March 15, 2026",7:00 PM,Sunday,March,2026-03-15,Angel City FC,Chicago Stars FC,BMO Stadium,home_venue,"March 15, 2026  7:00 PM  —  Angel City FC vs Chicago Stars FC"
2,20/03/2026 20:00,"March 20, 2026",8:00 PM,Friday,March,2026-03-20,Orlando Pride,Denver Summit FC,INTER&Co Stadium,home_venue,"March 20, 2026  8:00 PM  —  Orlando Pride vs Denver Summit FC"
2,20/03/2026 20:00,"March 20, 2026",8:00 PM,Friday,March,2026-03-20,Racing Louisville FC,Washington Spirit,Lynn Family Stadium,home_venue,"March 20, 2026  8:00 PM  —  Racing Louisville FC vs Washington Spirit"
2,20/03/2026 22:00,"March 20, 2026",10:00 PM,Friday,March,2026-03-20,Portland Thorns FC,Seattle Reign FC,Providence Park,home_venue,"March 20, 2026  10:00 PM  —  Portland Thorns FC vs Seattle Reign FC"
2,21/03/2026 16:00,"March 21, 2026",4:00 PM,Saturday,March,2026-03-21,Houston Dash,Boston Legacy FC,Shell Energy Stadium,home_venue,"March 21, 2026  4:00 PM  —  Houston Dash vs Boston Legacy FC"
